School Year,Division Number,Division Name,School Number,School Name,Subject,Test Source,Pass Rate,Division Number,State School ID
2017-2018,002,Albemarle County,880,Albemarle High,English:Reading,SOL,85.71,002,VA-002-0020880
2017-2018,002,Albemarle County,880,Albemarle High,English:Writing,SOL,88.92,002,VA-002-0020880
2017-2018,002,Albemarle County,890,Murray High,Mathematics,SOL,57.41,002,VA-002-0020890
2017-2018,002,Albemarle County,890,Murray High,Science,SOL,84.09,002,VA-002-0020890
2017-2018,002,Albemarle County,890,Murray High,History and Social Science,SOL,87.88,002,VA-002-0020890
2017-2018,002,Albemarle County,890,Murray High,English:Writing,SOL,88.57,002,VA-002-0020890
2017-2018,002,Albemarle County,890,Murray High,English:Reading,SOL,97.14,002,VA-002-0020890
2017-2018,002,Albemarle County,910,Virginia L. Murray Elementary,Science,SOL,92.11,002,VA-002-0020910
2017-2018,002,Albemarle County,910,Virginia L. Murray Elementary,Mathematics,SOL,93.5,002,VA-002-0020910
2017-2018,002,Albemarle County,910,Virginia L. Murray Elementary,English:Reading,SOL,94.21,002,VA-002-0020910
2017-2018,002,Albemarle County,910,Virginia L. Murray Elementary,History and Social Science,SOL,94.74,002,VA-002-0020910
2017-2018,002,Albemarle County,920,Stone Robinson Elementary,English:Reading,SOL,84.13,002,VA-002-0020920
2017-2018,002,Albemarle County,920,Stone Robinson Elementary,Mathematics,SOL,84.69,002,VA-002-0020920
2017-2018,002,Albemarle County,920,Stone Robinson Elementary,Science,SOL,86.11,002,VA-002-0020920
2017-2018,002,Albemarle County,920,Stone Robinson Elementary,History and Social Science,SOL,91.43,002,VA-002-0020920
2017-2018,002,Albemarle County,930,Woodbrook Elementary,Science,SOL,57.69,002,VA-002-0020930
2017-2018,002,Albemarle County,930,Woodbrook Elementary,History and Social Science,SOL,62.22,002,VA-002-0020930
2017-2018,002,Albemarle County,930,Woodbrook Elementary,Mathematics,SOL,62.29,002,VA-002-0020930
2017-2018,002,Albemarle County,930,Woodbrook Elementary,English:Reading,SOL,70.29,002,VA-002-0020930
2017-2018,002,Albemarle County,941,Brownsville Elementary,Science,SOL,81.48,002,VA-002-0020941
2017-2018,002,Albemarle County,941,Brownsville Elementary,Mathematics,SOL,82.53,002,VA-002-0020941
2017-2018,002,Albemarle County,941,Brownsville Elementary,History and Social Science,SOL,85.93,002,VA-002-0020941
2017-2018,002,Albemarle County,941,Brownsville Elementary,English:Reading,SOL,88.1,002,VA-002-0020941
2017-2018,002,Albemarle County,942,Joseph T. Henley Middle,Science,SOL,82.52,002,VA-002-0020942
2017-2018,002,Albemarle County,942,Joseph T. Henley Middle,Mathematics,SOL,87.13,002,VA-002-0020942
2017-2018,002,Albemarle County,942,Joseph T. Henley Middle,English:Reading,SOL,87.25,002,VA-002-0020942
2017-2018,002,Albemarle County,942,Joseph T. Henley Middle,English:Writing,SOL,88.15,002,VA-002-0020942
2017-2018,002,Albemarle County,942,Joseph T. Henley Middle,History and Social Science,SOL,91.23,002,VA-002-0020942
2017-2018,002,Albemarle County,950,Jack Jouett Middle,English:Writing,SOL,65.85,002,VA-002-0020950
2017-2018,002,Albemarle County,950,Jack Jouett Middle,Science,SOL,70.79,002,VA-002-0020950
2017-2018,002,Albemarle County,950,Jack Jouett Middle,Mathematics,SOL,72.4,002,VA-002-0020950
2017-2018,002,Albemarle County,950,Jack Jouett Middle,English:Reading,SOL,74.15,002,VA-002-0020950
2017-2018,002,Albemarle County,950,Jack Jouett Middle,History and Social Science,SOL,87.36,002,VA-002-0020950
2017-2018,002,Albemarle County,1051,Mortimer Y. Sutherland Middle,English:Writing,SOL,79.31,002,VA-002-0021051
2017-2018,002,Albemarle County,1051,Mortimer Y. Sutherland Middle,Science,SOL,82.35,002,VA-002-0021051
2017-2018,002,Albemarle County,1051,Mortimer Y. Sutherland Middle,Mathematics,SOL,84.36,002,VA-002-0021051
2017-2018,002,Albemarle County,1051,Mortimer Y. Sutherland Middle,English:Reading,SOL,86.72,002,VA-002-0021051
2017-2018,002,Albemarle County,1051,Mortimer Y. Sutherland Middle,History and Social Science,SOL,90.1,002,VA-002-0021051
2017-2018,002,Albemarle County,1052,Monticello High,English:Writing,SOL,66.98,002,VA-002-0021052
2017-2018,002,Albemarle County,1052,Monticello High,Mathematics,SOL,67.41,002,VA-002-0021052
2017-2018,002,Albemarle County,1052,Monticello High,History and Social Science,SOL,73.75,002,VA-002-0021052
2017-2018,002,Albemarle County,1052,Monticello High,Science,SOL,80.98,002,VA-002-0021052
